,Slang,Formal
13294,cocokkk,cocok
13295,aja,saja
13296,jendes,janda
13297,ngggk,enggak
13298,coccokk,cocok
13299,mantapp,mantap
13300,yaaa,ya
13301,liat,lihat
13302,aja,saja
13303,ga,enggak
13304,ga,enggak
13305,sm,sama
13306,udah,sudah
13307,ngatain,mengatai
13308,ga,enggak
13309,tp,tapi
13310,kasian,kasihan
13311,mba,mbak
13312,iiihhhhh,ih
13313,msa,masa
13314,ska,suka
13315,sma,sama
13316,jendesss,janda
13317,yg,yang
13318,smpe,sampai
13319,klepek2,klepek-klepek
13320,gak,enggak
13321,bngtttt,banget
13322,kek,kayak
13323,ponakn,ponakan
13324,sma,sama
13325,tantee,tante
13326,ad,ada
13327,yg,yang
13328,gadiss,gadis
13329,tpy,tapi
13330,jnda,janda
13331,bngy,banget
13332,sihh,sih
13333,bujngn,bujangan
13334,ngp,mengapa
13335,mw,mau
13336,sm,sama
13337,yaa,ya
13338,dlam,dalam
13339,smua,semua
13340,diluarann,diluaran
13341,yg,yang
13342,trbaik,terbaik
13343,hri,hari
13344,qt,kita
13345,padetan,padatan
13346,"gara""",gara-gara
13347,pake,pakai
13348,rekomendasiin,rekomendasikan
13349,makasih,terima kasih
13350,aja,saja
13351,udah,sudah
13352,yg,yang
13353,msh,masih
13354,sm,sama
13355,jgn,jangan
13356,bawa2,bawa-bawa
13357,knp,kenapa
13358,yg,yang
13359,dapetin,mendapatkan
13360,udh,sudah
13361,bnyak,banyak
13362,ko,kok
13363,nyobain,mencoba
13364,ngerti,mengerti
13365,pcaran,pacaran
13366,gajelas,enggak jelas
13367,kya,kaya
13368,sma,sama
13369,kalii,kali
13370,aja,saja
13371,gak,enggak
13372,gak,enggak
13373,ngomong,mengomong
13374,bgt,banget
13375,gak,enggak
13376,bgt,banget
13377,yg,yang
13378,emang,memang
13379,ny,nya
13380,klian,kalian
13381,mreka,mereka
13382,klian,kalian
13383,jd,jadi
13384,trus,terus
13385,trus,terus
13386,klian,kalian
13387,klian,kalian
13388,pcaran,pacaran
13389,dgn,dengan
13390,or,orang
13391,yg,yang
13392,tdak,tidak
13393,prcuma,percuma
13394,klian,kalian
13395,koment,komentar
13396,dpt,dapat
13397,gak,enggak
13398,emng,memang
13399,ny,nya
13400,klian,kalian
13401,coment,komentar
13402,dpt,dapat
13403,dr,dari
13404,sma,sama
13405,"nenek""",nenek-nenek
13406,bgt,banget
13407,ihh,ih
13408,ga,enggak
13409,mbk,mbak
13410,mbaaa,mbak
13411,aja,saja
13412,langgengggg,langgeng
13413,tp,tapi
13414,tp,tapi
13415,gak,enggak
13416,g,enggak
13417,sekaliiiii,sekali
13418,baper,bawa perasaan
13419,gak,enggak
13420,emang,memang
13421,tp,tapi
13422,serem,seram
13423,jg,juga
13424,tp,tapi
13425,yg,yang
13426,ngomong,mengomong
13427,aja,saja
13428,gak,enggak
13429,mikirin,memikirkan
13430,"kata""",kata-kata
13431,anehhh,aneh
13432,udah,sudah
13433,digituin,dibegitukan
13434,yaa,ya
13435,ngomong,mengomong
13436,bkn,bukan
13437,d,di
13438,mreka,mereka
13439,hayal,khayal
13440,yg,yang
13441,ga,enggak
13442,emg,memang
13443,ga,enggak
13444,boong,bohong
13445,beneran,benaran
13446,inget,ingat
13447,bedua,berdua
13448,inget,ingat
13449,ama,sama
13450,cocokk,cocok
13451,liat,lihat
13452,lgi,lagi
13453,gitu,begitu
13454,yaah,ya
13455,ga,enggak
13456,aja,saja
13457,bapeerr,bawa perasaan
13458,nyaa,nya
13459,liat,lihat
13460,lagu2,lagu-lagu
13461,mbk,mbak
13462,keinget,teringat
13463,wihhh,wih
13464,kerenn,keren
13465,merekak,mereka
13466,aja,saja
13467,udah,sudah
13468,mrk,mereka
13469,kek,kayak
13470,yg,yang
13471,lucuuu,lucu
13472,kreeenn,keren
13473,abisss,habis
13474,bnget,banget
13475,kaka,kakak
13476,lucuuu,lucu
13477,kerennnnn,keren
13478,kocaaaakkk,kocak
13479,abiiiss,habis
13480,nyadar,menyadar
13481,pass,pas
13482,lahh,lah
13483,personill,personil
13484,lengkapp,lengkap
13485,ampuuun,ampun
13486,ngakak,mengakak
13487,bangett,banget
13488,kk,kakak
13489,iiihhhh,ih
13490,kyk,kayak
13491,gini,begini
13492,gokil,gila
13493,flim.a,filmnya
13494,trusan.a,terusannya
13495,kcantikan,kecantikan
13496,dh,dah
13497,pkai,pakai
13498,tdung,tudung
13499,wktu,waktu
13500,blm,belum
13501,pake,pakai
13502,smg,semoga
13503,bgt,banget
13504,nonton,menonton
13505,bgt,banget
13506,yg,yang
13507,slalu,selalu
13508,gangguin,mengganggu
13509,tp,tapi
13510,slalu,selalu
13511,pgn,pengin
13512,nonton,menonton
13513,gk,enggak
13514,y,ya
13515,yg,yang
13516,d,di
13517,dri,dari
13518,lgi,lagi
13519,da,ada
13520,gak,enggak
13521,pake,pakai
13522,bgt,banget
13523,yg,yang
13524,gak,enggak
13525,pake,pakai
13526,mbk,mbak
13527,lgkah2,langkah-langkah
13528,skrg,sekarang
13529,tu,itu
13530,gmana,bagaimana
13531,mbk,mbak
13532,taw,tau
13533,kta,kita
13534,cntiiikkk,cantik
13535,udah,sudah
13536,gak,enggak
13537,pengen,pengin
13538,nonton,menonton
13539,liat,lihat
13540,yg,yang
13541,tegaar,tegar
13542,nihhh,nih
13543,smpe,sampai
13544,sktlrang,sekarang
13545,msih,masih
13546,bget,banget
13547,kangeeeennnnn,kangen
13548,slalu,selalu
13549,nangiss,menangis
13550,klo,kalo
13551,nonton,menonton
13552,kaa,kak
13553,sjk,sejak
13554,sya,saya
13555,tambh,tambah
13556,yg,yang
13557,nangiis,menangis
13558,teruss,terus
13559,maen,main
13560,bgt,banget
13561,cantikkkkkkkk,cantik
13562,nyaaaaaaaaa,nya
13563,kaa,kak
13564,sbgai,sebagai
13565,bundaa,bunda
13566,gueee,gue
13567,duuhhhhh,duh
13568,kangeenn,kangen
13569,sm,sama
13570,kyk,kayak
13571,gaada,enggak ada
13572,kerjaan,pekerjaan
13573,yg,yang
13574,ngucapin,mengucapkan
13575,yg,yang
13576,bgt,banget
13577,bkn,bukan
13578,klo,kalo
13579,gk,enggak
13580,kmu,kamu
13581,klo,kalo
13582,kmu,kamu
13583,yaaa,ya
13584,malsudnya,maksudnya
13585,kyak,kayak
13586,lluuccuu,lucu
13587,siappa,siapa
13588,martabakk,martabak
13589,tuhh,tuh
13590,tuhh,tuh
13591,akuu,aku
13592,jgn,jangan
13593,bgt,banget
13594,skali2,sekali-kali
13595,yg,yang
13596,kueren2,keren-keren
13597,gini,begini
13598,jgn,jangan
13599,abgnya,abangnya
13600,bgt,banget
13601,muke,muka
13602,gk,enggak
13603,nii,ini
13604,bangettt,banget
13605,kek,kayak
13606,gini,begini
13607,gile,gila
13608,inget,ingat
13609,ngomong,mengomong
13610,yg,yang
13611,jd,jadi
13612,dapet,dapat
13613,warkop,warung kopi
13614,nggak,enggak
13615,hayuu,hayo
13616,kenapaa,kenapa
13617,ilang2an,hilang-hilangan
13618,gitu,begitu
13619,liat,lihat
13620,aja,saja
13621,ayooook,ayo
13622,astagaaaaaaaa,astaga
13623,bener2,benar-benar
13624,nonton,menonton
13625,inihhh,ini
13626,bgt,banget
13627,ama,sama
13628,klw,kalau
13629,oom,om
13630,g,enggak
13631,ak,aku
13632,kek,kayak
13633,mansetan,bermanset
13634,cmn,cuman
13635,keliatan,kelihatan
13636,bgt,banget
13637,yg,yang
13638,meranin,memerankan
13639,cadasss,cadas
13640,kereeeeennn,keren
13641,"temen""",teman-teman
13642,tp,tapi
13643,telefisi,televisi
13644,yg,yang
13645,jd,jadi
13646,tu,itu
13647,jd,jadi
13648,kgak,kagak
13649,nikmatin,menikmati
13650,nonton,menonton
13651,mantappp,mantap
13652,mbahh,mbah
13653,lbh,lebih
13654,dr,dari
13655,udah,sudah
13656,unyuu,unyu
13657,giitu,begitu
13658,lucuuuuu,lucu
13659,ngilang,menghilang
13660,mtanya,matanya
13661,ga,enggak
13662,kliatan,kelihatan
13663,cpit,sipit
13664,bgt,banget
13665,dee,dek
13666,gak,enggak
13667,brp,berapa
13668,iyaa,iya
13669,bgt,banget
13670,sumvahh,sumpah
13671,bnyak,banyak
13672,bnyak,banyak
13673,cewe,cewek
13674,ngantri,mengantri
13675,engga,enggak
13676,tamvann,tampan
13677,gils,gila
13678,udah,sudah
13679,bgt,banget
13680,yah,ya
13681,km,kamu
13682,yap,ya
13683,bgt,banget
13684,ko,kok
13685,gantengg,ganteng
13686,si,sih
13687,ngakak,mengakak
13688,guaaaaaaa,gua
13689,kerennn,keren
13690,ngakak,mengakak
13691,tuuu,itu
13692,capa,sapa
13693,ngakakkk,mengakak
13694,bgt,banget
13695,liaat,lihat
13696,gantweng,ganteng
13697,ngakak,mengakak
13698,anjjjjjjjj,anjing
13699,bgttt,banget
13700,bgt,banget
13701,tp,tapi
13702,lohhhh,loh
13703,gakwad,enggak kuat
13704,yg,yang
13705,ngakak,mengakak
13706,gw,gue
13707,pengen,pengin
13708,yg,yang
13709,bngt,banget
13710,bs,bisa
13711,seru2,seru-seru
13712,ga,enggak
13713,ngakak,mengakak
13714,iniii,ini
13715,favoriteeee,favorit
13716,bat,banget
13717,udah,sudah
13718,liat,lihat
13719,lg,lagi
13720,adaa,ada
13721,bat,banget
13722,yak,ya
13723,makasih,terima kasih
13724,q,ku
13725,smp,sampai
13726,nangis,menangis
13727,dinyanyiin,dinyanyikan
13728,donk,dong
13729,yg,yang
13730,seruu,seru
13731,nyengir,menyengir
13732,temennya,temannya
13733,bnr,benar
13734,kgn,kangen
13735,smg,semoga
13736,klk,kelak
13737,klian,kalian
13738,brjdh,berjodoh
13739,akhrt,akhirat
13740,kangennnnn,kangen
13741,bgtt,banget
13742,sma,sama
13743,yg,yang
13744,kyk,kayak
13745,gini,begini
13746,kngen,kangen
13747,aja,saja
13748,kangennnn,kangen
13749,kaka,kakak
13750,kngenn,kangen
13751,kangeenn,kangen
13752,kanggen,kangen
13753,sampe,sampai
13754,kangennn,kangen
13755,kangennnnnnn,kangen
13756,udah,sudah
13757,ysh,ya
13758,sm,sama
13759,sypa,siapa
13760,yg,yang
13761,belain,membela
13762,kmu,kamu
13763,kmu,kamu
13764,"bner""",benar-benar
13765,aj,saja
13766,kangeen,kangen
13767,yg,yang
13768,kmi,kami
13769,klo,kalo
13770,mreka,mereka
13771,aminn,amin
13772,orang2,orang-orang
13773,aminn,amin
13774,nangisss,menangis
13775,abg,abang
13776,smoga,semoga
13777,brjodoh,berjodoh
13778,y,ya
13779,kangenn,kangen
13780,kaliann,kalian
13781,yg,yang
13782,barengg,bareng
13783,yg,yang
13784,yg,yang
13785,krna,karena
13786,smpai,sampai
13787,kpnpun,kapanpun
13788,jugaa,juga
13789,mendj,menjadi
13790,aminnn,amin
13791,allahhhh,allah
13792,yah,ya
13793,jd,jadi
13794,pengen,pengin
13795,pake,pakai
13796,merindinggg,merinding
13797,liat,lihat
13798,yg,yang
13799,bhgia,bahagia
13800,amiennnn,amien
13801,pinter,pintar
13802,bgt,banget
13803,iihh,ih
13804,gitu,begitu
13805,pinter,pintar
13806,kpan,kapan
13807,lhir,lahir
13808,udeh,sudah
13809,smoga,semoga
13810,menjdi,menjadi
13811,ank,anak
13812,yg,yang
13813,y,ya
13814,kk,kakak
13815,bngett,banget
13816,debay,adek bayi
13817,bangeer,banget
13818,lafazd,lafaz
13819,skrng,sekarang
13820,jg,juga
13821,pmbyran,pembayaran
13822,plsa,pulsa
13823,ga,enggak
13824,udh,sudah
13825,"dimana""",dimana-mana
13826,adaa,ada
13827,yaa,ya
13828,trs,terus
13829,sokk,sok
13830,yg,yang
13831,km,kamu
13832,tp,tapi
13833,ngambekan,ambekan
13834,sma,sama
13835,ngeliat,melihat
13836,hub,hubungan
13837,sma2,sama-sama
13838,ngom,mengomong
13839,q,ku
13840,siapaa,siapa
13841,toloollll,tolol
13842,yg,yang
13843,siapaa,siapa
13844,tauu,tau
13845,bodhooo,bodoh
13846,peliharaaaa,pelihara
13847,kmu,kamu
13848,yaa,ya
13849,sampe,sampai
13850,kek,kayak
13851,makanyaa,makanya
13852,klo,kalo
13853,ngom,mengomong
13854,"ati""",hati-hati
13855,kemakan,termakan
13856,bodhoo,bodoh
13857,siihhh,sih
13858,pura2,pura-pura
13859,ga,enggak
13860,mksd,maksud
13861,sm,sama
13862,aq,aku
13863,andaaa,anda
13864,padahall,padahal
13865,buktinyaaa,buktinya
13866,smuaaa,semua
13867,aq,aku
13868,yg,yang
13869,pinter,pintar
13870,doank,doang
13871,lg,lagi
13872,ngambeknya,mengambeknya
13873,gara2,gara-gara
13874,loksyut,lokasi syuting
13875,tar,entar
13876,lama2,lama-lama
13877,kebongkar,terbongkar
13878,ohh,oh
13879,gtu,begitu
13880,yaa,ya
13881,kmu,kamu
13882,ohh,oh
13883,kerjaan,pekerjaan
13884,kmu,kamu
13885,yaa,ya
13886,"artis""",artis-artis
13887,tapii,tapi
13888,kasiian,kasihan
13889,gk,enggak
13890,adaa,ada
13891,yg,yang
13892,kmu,kamu
13893,km,kamu
13894,ga,enggak
13895,ngikutin,mengikuti
13896,aq,aku
13897,trs,terus
13898,gk,enggak
13899,diladenin,diladeni
13900,comen,komen
13901,ngtif,negatif
13902,jgn,jangan
13903,comntr,komentar
13904,dg,dengan
13905,kaliannn,kalian
13906,sgt,sangat
13907,brdiri,berdiri
13908,syg,sayang
13909,gt,begitu
13910,bgtttt,banget
13911,knp,kenapa
13912,ga,enggak
13913,blg,bilang
13914,sma,sama
13915,karna,karena
13916,lbh,lebih
13917,yg,yang
13918,nyari,mencari
13919,sgt,sangat
13920,bgt,banget
13921,karna,karena
13922,mreka,mereka
13923,tpi,tapi
13924,gk,enggak
13925,uda,sudah
13926,aja,saja
13927,skrg,sekarang
13928,lg,lagi
13929,deket,dekat
13930,sma,sama
13931,pda,pada
13932,mulutny,mulutnya
13933,yg,yang
13934,lucu2,lucu-lucu
13935,msalah,masalah
13936,dlu,dulu
13937,y,ya
13938,trserh,terserah
13939,yg,yang
13940,pnting,penting
13941,skrg,sekarang
13942,smua,semua
13943,udh,sudah
13944,sprti,seperti
13945,gmn,bagaimana
13946,waduuuuh,waduh
13947,yg,yang
13948,smpai,sampai
13949,yg,yang
13950,ngedukung,mendukung
13951,yach,ya
13952,yg,yang
13953,aja,saja
13954,foto2,foto-foto
13955,ilang,hilang
13956,msh,masih
13957,blm,belum
13958,klo,kalo
13959,uda,sudah
13960,udh,sudah
13961,msh,masih
13962,ni,ini
13963,aja,saja
13964,ga,enggak
13965,dihpus,dihapus
13966,ni,ini
13967,yg,yang
13968,jd,jadi
13969,bwt,buat
13970,mrekaa,mereka
13971,tauu,tau
13972,gaje,enggak jelas
13973,ngurusin,mengurusi
13974,cakeeeeppp,cakep
13975,benerr,benar
13976,"brg""",bareng-bareng
13977,baanget,banget
13978,anjaaaayyyyyy,anjay
13979,ni,ini
13980,ingt,ingat
13981,lgu,lagu
13982,ngetsz,banget
13983,yg,yang
13984,kemaren,kemarin
13985,utkmu,untukmu
13986,yg,yang
13987,dlm,dalam
13988,yah,ya
13989,tetep,tetap
13990,anj,anjing
13991,merekaa,mereka
13992,belain,membela
13993,kann,kan
13994,dieee,dia
13995,yaahh,ya
13996,gini,begini
13997,klo,kalo
13998,bgt,banget
13999,alloh,allah
14000,yg,yang
14001,hijap,hijab
14002,smua,semua
14003,dri,dari
14004,pd,pada
14005,ngurusin,mengurusi
14006,org,orang
14007,hijap,hijab
14008,ternodain,ternodai
14009,suka2,suka-suka
14010,x,kali
14011,wadaaw,waduh
14012,komen2,komen-komen
14013,ngeri2,ngeri-ngeri
14014,yg,yang
14015,km,kamu
14016,mn,mana
14017,yg,yang
14018,bnr,benar
14019,mn,mana
14020,yg,yang
14021,slh,salah
14022,tp,tapi
14023,kt2,kata-kata
14024,yg,yang
14025,pd,pada
14026,agk,agak
14027,tdk,tidak
14028,bgs,bagus
14029,tdk,tidak
14030,tp,tapi
14031,skli,sekali
14032,lg,lagi
14033,tlg,tolong
14034,slhkan,salahkan
14035,jilbabny,jilbabnya
14036,tp,tapi
14037,slhkan,salahkan
14038,perilakuny,perilakunya
14039,bkn,bukan
14040,dr,dari
14041,ketaatanny,ketaatannya
14042,kepda,kepada
14043,sblmny,sebelumnya
14044,bljr,belajar
14045,jd,jadi
14046,pedulilaaaah,pedulilah
14047,ingetin,mengingatkan
14048,ga,enggak
14049,terjrumus,terjerumus
14050,dlm,dalam
14051,karna,karena
14052,yg,yang
14053,kek,kayak
14054,gini,begini
14055,stuju,setuju
14056,bnyak,banyak
14057,yg,yang
14058,temen,teman
14059,yg,yang
14060,gitu,begitu
14061,sebenernya,sebenarnya
14062,aja,saja
14063,yg,yang
14064,sbb,sebab
14065,tp,tapi
14066,aq,aku
14067,lg,lagi
14068,dlu,dulu
14069,tp,tapi
14070,igtlah,ingatlah
14071,dtgkan,datangkan
14072,tp,tapi
14073,aq,aku
14074,smoga,semoga
14075,sperti,seperti
14076,dlu,dulu
14077,aq,aku
14078,yg,yang
14079,dlu,dulu
14080,aq,aku
14081,kpd,kepada
14082,smg,semoga
14083,org,orang
14084,ga,enggak
14085,ngerti,mengerti
14086,kasi,kasih
14087,aja,saja
14088,trus,terus
14089,dy,dia
14090,berhijap,berhijab
14091,ngk,enggak
14092,dy,dia
14093,emang,memang
14094,udh,sudah
14095,bener,benar
14096,knp,kenapa
14097,dy,dia
14098,yg,yang
14099,bnyk,banyak
14100,gk,enggak
14101,org,orang
14102,jgn,jangan
14103,dri,dari
14104,benahin,membenahi
14105,ngomong,mengomong
14106,ga,enggak
14107,temen,teman
14108,yg,yang
14109,ga,enggak
14110,krn,karena
14111,ga,enggak
14112,bener,benar
14113,kasi,kasih
14114,kmu,kamu
14115,yg,yang
14116,lg,lagi
14117,ngerti,mengerti
14118,krn,karena
14119,ohhhh,oh
14120,yg,yang
14121,tp,tapi
14122,gk,enggak
14123,bener,benar
14124,org,orang
14125,yapp,ya
14126,yg,yang
14127,udah,sudah
14128,ga,enggak
14129,emang,memang
14130,tp,tapi
14131,kn,kan
14132,aja,saja
14133,jauhh,jauh
14134,bingitt,banget
14135,klw,kalau
14136,trims,terima kasih
14137,yg,yang
14138,buka2an,buka-bukaan
14139,stiap,setiap
14140,pst,pasti
14141,liat,lihat
14142,tp,tapi
14143,ga,enggak
14144,org,orang
14145,pst,pasti
14146,dy,dia
14147,ato,atau
14148,tdk,tidak
14149,ngembali,kembali
14150,pake,pakai
14151,donk,dong
14152,stiap,setiap
14153,pst,pasti
14154,liat,lihat
14155,sp,sapa
14156,yg,yang
14157,bilng,bilang
14158,lg,lagi
14159,kerennn,keren
14160,nyangka,menyangka
14161,trs,terus
14162,yaa,ya
14163,semngat,semangat
14164,amiin,amin
14165,mw,mau
14166,pengen,pengin
14167,kk,kakak
14168,lekong,laki
14169,bgt,banget
14170,kmu,kamu
14171,g,enggak
14172,kacauuuu,kacau
14173,ngimpi,mimpi
14174,yaa,ya
14175,owh,oh
14176,ad,ada
14177,d,di
14178,gk,enggak
14179,d,di
14180,ni,ini
14181,org,orang
14182,gak,enggak
14183,y,ya
14184,yah,ya
14185,udah,sudah
14186,ngerampas,merampas
14187,syg,sayang
14188,lg,lagi
14189,sm,sama
14190,elu,lu
14191,udah,sudah
14192,ngehancurin,menghancurkan
14193,y,ya
14194,skrg,sekarang
14195,ngungkit2,mengungkit-ungkit
14196,g,enggak
14197,mlu,malu
14198,org,orang
14199,gw,gue
14200,g,enggak
14201,slah,salah
14202,mba,mbak
14203,yg,yang
14204,gak,enggak
14205,nyadar,menyadar
14206,kaleee,kali
14207,dmn,dimana
14208,sbg,sebagai
14209,d,di
14210,sm,sama
14211,tp,tapi
14212,y,ya
14213,qm,kamu
14214,sm,sama
14215,sndiri,sendiri
14216,gak,enggak
14217,laki2,laki-laki
14218,laen,lain
14219,aja,saja
14220,mksd,maksud
14221,bingit,banget
14222,caranga,caranya
14223,yg,yang
14224,ga,enggak
14225,usa,usah
14226,dipikirin,dipikirkan
14227,yg,yang
14228,mreka,mereka
14229,yg,yang
14230,uda,sudah
14231,yg,yang
14232,tp,tapi
14233,cantikk,cantik
14234,lg,lagi
14235,nunduk,menunduk
14236,ny,nya
14237,y,ya
14238,trus,terus
14239,g,enggak
14240,kyk,kayak
14241,tembemmm,tembem
14242,lucuuuuuuuuuu,lucu
14243,bundaaa,bunda
14244,pngn,pengin
14245,nyubitt,mencubit
14246,hay,hai
14247,yg,yang
14248,jls2,jelas-jelas
14249,supeer,super
14250,sampe,sampai
14251,sekrang,sekarang
14252,"bener""",benar-benar
14253,bgt,banget
14254,mksh,terima kasih
14255,udah,sudah
14256,ksh,kasih
14257,jd,jadi
14258,gak,enggak
14259,mksh,terima kasih
14260,yg,yang
14261,inginkn,inginkan
14262,brsma,bersama
14263,laki2,laki-laki
14264,yg,yang
14265,ninggalin,meninggalkan
14266,nyesel,menyesal
14267,ampe,sampai
14268,pst,pasti
14269,inni,ini
14270,appa,apa
14271,blm,belum
14272,hayooo,hayo
14273,ttp,tetap
14274,adyem,adem
14275,kluar,keluar
14276,yg,yang
14277,mitnah,memfitnah
14278,gk,enggak
14279,lgsg,langsung
14280,cantiknyaaaaa,cantiknya
14281,ajah,saja
14282,nie,nih
14283,tmbm,tembam
14284,tpi,tapi
14285,ttp,tetap
14286,cntik,cantik
14287,cantix,cantik
14288,z,saja
14289,seger,segar
14290,bnyk,banyak
14291,c,sih
14292,yg,yang
14293,kriput,keriput
14294,g,enggak
14295,jelex,jelek
14296,g,enggak
14297,ngurus,mengurus
14298,drmn,darimana
14299,"laku""",laku-laku
14300,yg,yang
14301,"orang""nya",orang-orangnya
14302,jg,juga
14303,pd,pada
14304,kacian,kasihan
14305,ngak,enggak
14306,diladenin,diladeni
14307,tar,entar
14308,yg,yang
14309,cape,capek
14310,jg,juga
14311,mancing2,memancing-mancing
14312,aja,saja
14313,pake,pakai
14314,diem,diam
14315,tetep,tetap
14316,ak,aku
14317,d,di
14318,gituin,begitukan
14319,lg,lagi
14320,pdahal,padahal
14321,bgt,banget
14322,lupain,melupakan
14323,d,di
14324,bgt,banget
14325,klo,kalo
14326,inget,ingat
14327,lg,lagi
14328,eeeeh,eh
14329,"bner""",benar-benar
14330,ngingetin,mengingatkan
14331,k,ke
14332,tp,tapi
14333,ajja,saja
14334,sperti,seperti
14335,dlu,dulu
14336,jngan,jangan
14337,kpancing,terpancing
14338,lakuin,melakukan
14339,gtu,begitu
14340,cma,cuma
14341,cri,cari
14342,sbenernya,sebenarnya
14343,bkin,bikin
14344,yg,yang
14345,gk,enggak
14346,bgt,banget
14347,klo,kalo
14348,mh,mah
14349,ga,enggak
14350,yg,yang
14351,bnr2,benar-benar
14352,ksih,kasih
14353,cma,cuma
14354,gw,gue
14355,yg,yang
14356,ngerasa,merasa
14357,cantiiik,cantik
14358,mikirinnn,memikirkan
14359,tetep,tetap
14360,yg,yang
14361,syang,sayang
14362,mf,maaf
14363,y,ya
14364,mb,mbak
14365,gak,enggak
14366,w,gue
14367,klo,kalo
14368,bnr,benar
14369,dgn,dengan
14370,"diam""",diam-diam
14371,bw,bawa
14372,pst,pasti
14373,ni,ini
14374,klo,kalo
14375,sampe,sampai
14376,k,ke
14377,akn,akan
14378,mengalahkn,mengalahkan
14379,yg,yang
14380,lg,lagi
14381,skrg,sekarang
14382,jd,jadi
14383,lg,lagi
14384,yaa,ya
14385,iyaa,iya
14386,nyindirin,menyindir
14387,trus,terus
14388,ngambek,mengambek
14389,nee,ini
14390,ndak,indak
14391,smua,semua
14392,temen2,teman-teman
14393,klakuan,kelakuan
14394,tp,tapi
14395,merka,mereka
14396,ga,enggak
14397,ngomong,mengomong
14398,atw,atau
14399,temen,teman
14400,yg,yang
14401,gak,enggak
14402,dgn,dengan
14403,tp,tapi
14404,klo,kalo
14405,dgn,dengan
14406,cm,cuma
14407,aja,saja
14408,msh,masih
14409,byk,banyak
14410,temen,teman
14411,yg,yang
14412,laen,lain
14413,mksdx,maksudnya
14414,shabat,sahabat
14415,yg,yang
14416,jk,jika
14417,brbuat,berbuat
14418,slh,salah
14419,tp,tapi
14420,kl,kalau
14421,sm2,sama-sama
14422,mmberi,memberi
14423,nm,nama
14424,bkn,bukan
14425,sbhabat,sahabat
14426,tp,tapi
14427,pnjerumus,penjerumus
14428,hrs,harus
14429,bs,bisa
14430,bedain,membedakan
14431,mn,mana
14432,yg,yang
14433,tman,teman
14434,shbat,sahabat
14435,dgn,dengan
14436,melakukn,melakukan
14437,mksud,maksud
14438,sya,saya
14439,percya,percaya
14440,yg,yang
14441,seorg,seorang
14442,berkluarga,berkeluarga
14443,seneng,senang
14444,kn,kan
14445,klo,kalo
14446,liat,lihat
14447,rmh,rumah
14448,klian,kalian
14449,dlm,dalam
14450,siapa2,siapa-siapa
14451,yg,yang
14452,fto,foto
14453,ketipu,tertipu
14454,"laki""",laki-laki
14455,gak,enggak
14456,sempet,sempat
14457,yg,yang
14458,mengait2kan,mengait-ngaitkan
14459,taik,tahi
14460,nyir2,nyinyir
14461,gosipin,menggosipkan
14462,org,orang
14463,gk,enggak
14464,trbukti,terbukti
14465,yg,yang
14466,nie,ini
14467,mudah2an,mudah-mudahan
14468,dpt,dapat
14469,tai,tahi
14470,yg,yang
14471,tdk,tidak
14472,dgn,dengan
14473,jgn,jangan
14474,d,di
14475,sllu,selalu
14476,kya,kaya
14477,sendri,sendiri
14478,ttp,tetap
14479,bener,benar
14480,bgt,banget
14481,bntar,bentar
14482,lg,lagi
14483,jg,juga
14484,cepet,cepat
14485,kebongkar,terbongkar
14486,km,kamu
14487,kmu,kamu
14488,bnget,banget
14489,duuuhhh,duh
14490,bgt,banget
14491,cwe,cewek
14492,nmbk,menembak
14493,cwo,cowok
14494,gw,gue
14495,dengerin,dengarkan
14496,gitu,begitu
14497,gakkk,enggak
14498,yg,yang
14499,nyanyiin,menyanyikan
14500,ahh,ah
14501,yaa,ya
14502,tuch,tuh
14503,ampunnnnn,ampun
14504,gokil,gila
14505,abiiiiisssss,habis
14506,tp,tapi
14507,jga,juga
14508,syg,sayang
14509,tikung2,tikung-tikung
14510,ntar,entar
14511,ma,sama
14512,cwok,cowok
14513,cantikk,cantik
14514,bangedd,banget
14515,wuastagah,astaga
14516,bedaaa,beda
14517,jaoooh,jauh
14518,mateeeeeeeeeeee,mati
14519,parsis,persis
14520,dg,dengan
14521,jngn,jangan
14522,sumpeh,sumpah
14523,kk,kakak
14524,jg,juga
14525,yaa,ya
14526,emang,memang
14527,byk,banyak
14528,yg,yang
14529,kek,kayak
14530,bener,benar
14531,yak,ya
14532,bgt,banget
14533,donk,dong
14534,jd,jadi
14535,iyh,iya
14536,k,kak
14537,kmana,kemana
14538,ga,enggak
14539,tetep,tetap
14540,aja,saja
14541,elo,lo
14542,kyk,kayak
14543,skali,sekali
14544,ibuk2,ibu-ibu
14545,cantiqs,cantik
14546,bangetttttttt,banget
14547,gemes,gemas
14548,kecik,kecil
14549,smpai,sampai
14550,nggak,enggak
14551,tp,tapi
14552,tetep,tetap
14553,yg,yang
14554,ga,enggak
14555,tetehh,teteh
14556,brasa,berasa
14557,dr,dari
14558,udh,sudah
14559,bgt,banget
14560,ga,enggak
14561,krn,karena
14562,udah,sudah
14563,benar2,benar-benar
14564,yg,yang
14565,trlihat,terlihat
14566,bhw,bahwa
14567,mmberikan,memberikan
14568,utk,untuk
14569,dn,dan
14570,dlm,dalam
14571,khidupan,kehidupan
14572,kluarga,keluarga
14573,bnget,banget
14574,jdi,jadi
14575,srpti,seperti
14576,yg,yang
14577,dinamakn,dinamakan
14578,org,orang
14579,yg,yang
14580,pst,pasti
14581,seneng,senang
